Category,Text,Link,Source
1,"control covid sólo tema médico resto personal sanitario científico desgracia fortuna asunto esencialmente político decidir hombre mujer dedicar política creencia opinión último depender éxito fracaso acción implementar 

 éxito toma decisión salir vida nación obviamente error matar si acompañado mentira medio verdad pasado pulso salud   febrero presidente lópez romper récord primero diez minuto decir tres mentira grave medio verdad mentira problema mentira matar 

 ocasión lópez obrador decir afortunadamente reducir contagio país después subsecretario lópezgatell camino complementar tesis último dos semana tendencia baja verdad medias principios diciembre pasado varios experto suponer luego buen fin fiesta conocido guadaluperey   diciembre enero pico contagio muerte luego regresaríar siniestra mortal meseta ocho mil contagio   muerte promedio día 

 especular   enero regresar número principios diciembre así efecto guadaluperey sentir largo enero mes desastroso mortífero peor comenzar pandemia todo culpa gubernamental tragedia necesidad económico hacer salir gente acatar regla básico aportar parte caso decir medio verdad asegurar tendencia baja tan solo dos semana mala cuenta decir confiar él señalar pandemia descontrolado mañanera citado presidente allá asegurar protesta médico personal sanitario demostración avalir política decir gran mentira protesta médico enfermera camillero químico personal relacionado comenzar marzo año pasado proseguir   coahuila bajo california cdmx edomex conocer petición constante suministro protección tal guant bata lent careta etc marzo ahora   protesta queja calle hospital centro salud carta dirigido medio plantón renuncia personal médico dormir poder auto evitar llevar muerte casa 

 llegada vacuna diciembre nuevo demanda aplicar vacuna personal primero línea contacto enfermo queja varios punto país vacuna aplicar directivo familiar   desorganización recepción aplicación vacuna uso político vacunar maestro campeche dar clase primero línea 

 tercero mentira asegurar nunca ser rebasar capacidad cama equipo cualquiera revisión prensa último mes relatar varios historia persona buscar día lugar familiar enfermo lograr persona conocido morir casa rechazar hospital suficientemente enfermo 

 panorama mentira medio verdad cierto único país faltar suministro cama equipo morir personal médico nación evolucionar favorablemente covid septiembre amnistir internacional publicación the lancet dar cuenta morir personal médico méxico cualquiera parte mundo demagogia insensibilidad mentira peor infodemia dar complicidad gabinete 

 esperanza vacuna disminuir temor efectividad buscar todo población nuevo cepa arrar mundo decir experta británico ritmo ir vacunación país posible vendaval contagio muerte arrastrar todavía",https://www.eleconomista.com.mx/opinion/Covid-19-mentiras-que-matan-20210212-0029.html,eleconomista
0,"gobierno pedro sánchez pablo iglesia encontrar excusa perfecto vulnerar privacidad español través norma ser diseñar controlar orden público calle comunicación concentración protesta manifestación tipo incluido producir pedro sánchez según informar periodista okdiario carlos costar ministerio fernando grandemarlaska poder intervenir red social servicio comunicación forma puntual siempre existir riesgo objetivo grave orden público seguridad nacional seguridad público 

 jueves confirmar servicio mensajería telegram whatsapp poder ser usar enviar mensaje situación emergencia según detalla diario digital eduardo indar intervención permitir gobierno conocer ip cada terminal conectar existir posibilidad identificar persona manifestación 

 anteproyecto ser tramitar ministerio interior formar parte nuevo ley general telecomunicación incluir cláusula dar acceso directo policía caso excepcional caso empresa incumplar obligación servicio público gobierno reservar posibilidad invertir gestionar servicio explotación red 

 nuevo medida gobierno pedro sánchez avanzar voluntad poder controlar mayor facilidad organizador protesta ejecutivo verano dar orden identificar ciudadano promover cacerolada gobierno diverso zona madrid territorio nacional",https://www.elmatinal.com/espana-ultima-hora/el-gobierno-podra-acceder-a-las-ips-de-los-moviles-sabra-el-nombre-de-los-manifestantes-contra-pedro-sanchez/,elmatinal
1,"tres federación agrupar   mezquita llevar fiscal campaña ultra identificar islam terrorismo 
 tres mayor federación musulmán islámico cataluña denunciar ataque vox fiel religión fiscal encargado perseguir delito odio discriminación comunidad autónomo 

 tres organización unir comunitats islmiqu catalunya federaceír consell islmic catalunya federaceír islámico catalunya agrupar     mezquita cataluña reconocer interlocutor comunidad musulmán administración denunciar campaña stopislamición lanzado partido ultra través red social elección autonómico   febrero 

 mensaje tinte xenófobo denuncia centrar vídeo mezclar noticia relacionado comunidad musulmán cataluña puesta marcha plan piloto impartir religión islámico asignatura optativo escuela construcción mezquita imagen atentado   agosto   rambla barcelona representar musulmán extranjero peligroso sospechoso potencialmente terrorista según denuncia vídeo utilizar imagen tomado país mujer burka vestimenta propio afganistán reforzar idea atavismo atraso musulmán vivir cataluña 

   musulmán   nacionalidad español según último estudio demográfico unión comunidad islámico españa cataluña comunidad autónomo fiel dicho religión 

 denuncia suscribar musulmán islamofobio asociación defensora derecho civil sostener difusión vídeo pleno campaña electoral buscar generar clima miedo opinión público   finalidad conseguir mayor número voto costa provocar estigmatización persona musulmán cataluña 

 denuncia apoyar argumento jurisprudencia tribunal europeo derechos humanos sostener incitación odio requerir llamamiento acto concreto violencia injuriar ridiculizar difamar parte población   suficiente autoridad privilegien lucha discurso racista frente libertad expresión atentar dignidad incluso seguridad comunidad concreto 

 independencia reproche social moral ético merezcar campaña vox federación musulmán pedir fiscalía investigar si autor vídeo incurrir delito incitación odio discriminación grupo persona razón religión castigado cuatro año cárcel 

 vídeo   reproducción solo twitter seguir accesible red social pesar responsable bloquear pasado jueves semana cuenta oficial partido ultra incitación odio 

 vicesecretaria jurídico vox marta castro presentar lunes querella juzgado guardia madrid responsable españa twitter nathalie picquot alegar bloqueo cuenta suponer lesión derecho fundamental imputación falso delito odio comisión injuria calumnia vox pedir levantar inmediato bloqueo cuenta alegar impedir candidato competir igualdad condición campaña electoral catalán 

 vox anunciar reforma legal inspirado proyecto partido ultraconservador polaco ley justicia red social poder ser sancionada incluso perseguido penalmente censurar contenido 

 vox ser repetidamente condenado asociación prensa colegio periodista vetar acceso periodista medio comunicación rueda prensa acto público",https://elpais.com/espana/elecciones-catalanas/2021-02-02/la-comunidad-musulmana-catalana-denuncia-a-vox-por-incitar-al-odio.html,elpais
0,"dar conocer dato electoral preliminar persona privado libertad ppl ecuador votar primero lugar media resultado asentar tendencia marcado hacer semana mayoría encuestadora andrés arauz conseguir   voto diferencia   punto guillermo lasso segundo 

 número poder usar realizar extrapolación perfecto país población cárcel muestra estadístico servir estudio demoscópico nacional embargo demostrar cierto clave adelantar probable victoria andrés arauz primero vuelta necesidad acudir segundo cita electoral 

 primero lugar evidenciar mayoría encuesta acertar señalar tendencia alza andrés arauz explotar partir debate presidencial casa encuestadora ser moderar cocina hora contener subida candidato progresista nación elector atrevir desvelar voto lista   causa imagen negativo gobierno aliado crear izquierda medio comunicación",https://perma.cc/GYE6-SPMB,perma
1,"primero fase censo virtual solo abril próximo iniciar encuesta portar puerta martes   enero iniciar primero etapa correspondiente recolección información censo nacional población vivienda 

 inversión realización censo   millón pesos vigencia futuro     informar lunes festivo caracol radio 

 primero fase proceso virtual solo abril próximo iniciar etapa realizar encuesta portar puerta persona persona territorio nacional proceso finalizar junio 

 según mauricio perfetti director departamento administrativo nacional estadística dane funcionario deber participar obligatoriamente etapa virtual mientras demá persona poder optar alternativa voluntariamente 

 primero departamento ciudad ser censar presencialmente alberguir cerca   población colombia 

 caber recordar dos día anterioridad aproximadamente notificar fecha censo ir atender encuestador poder ajustar horario trabajo preparar información cada integrante hogar deber tener cuenta dicho persona deber ser mayor   año 

 además si motivo fuerza mayor día visita nadie hogar censista reprogramacer visita día siguiente intento censo hacer máximo dos vez adicional primero 

 caso atender visita tampoco realizar ecenso tras investigación dane poder imponer multa correspondiente","https://www.larepublica.co/economia/el-censo-poblacional-2018-tendra-un-costo-de-350000-millones-2586598#:~:text=El%20censo%20poblacional%202018%20tendr%C3%A1%20un%20costo%20de%20%24350.000%20millones,-lunes%2C%208%20de&text=La%20primera%20fase%20del%20censo,las%20encuestas%20puerta%20a%20puerta.&text=Este%20martes%209%20de%20enero,Poblaci%C3%B3n%20y%20Vivienda%20de%202018.",larepublica
0,"boooomm 
 mujer vacunada covid mostrar efecto secundario típico cancer mama 
 médico intermountain healthcar breast care centrar utah usar anunciar nuevo pauta mamografía mujer vacunada covid recientemente 
 médico observar inflamación ganglio linfático mamografía detección mujer vacunar recientemente covid 
 siempre ver mamografía detección normal llamar paciente poder significar cáncer mama metastásico viajar ganglio linfático linfomo leucemia 
 vacuna moderno síntoma aproximadamente   después primero dosis   después segundo dosis creer comparable vacuna pfizer",https://www.facebook.com/901924190177223/posts/1301105836925721,facebook
1,"dr anthony fauci consentir aparecer nuevo anuncio campaña trump promocionar manejo presidente donald trumpir pandemia coronavirus cambio principal experto enfermedad infeccioso país decir cnn palabra sacar contexto casi cinco década servicio público nunca respaldar públicamente ninguno candidato político comentario atribuir permiso anuncio campaña republicano sacar contexto amplio declaración hacer hacer mes esfuerzo funcionario salud público decir fauci comunicado proporcionado exclusivamente cnn preguntar si aceptar aparecer anuncio campaña trump lanzar nuevo anuncio semana pasado después presidente dar alta centro médico militar nacional walter reed luego tratamiento covid anuncio   segundo transmitir michigan promocionar experiencia personal trump  virus usar cita fauci intento parecer elogiar respuesta trump 

 presidente trump recuperar coronavirus unidos decir narrador anuncio junto levantar enfrentar desafío proteger adulto mayor proporcionándol medicamento salir vida tiempo récord escatimar gasto luego anuncio mostrar entrevista fauci decir poder imaginar alguien poder hacer 

 aunque proporcionar fecha anuncio cita fauci entrevista fox news marzo entrevista fauci elogiar esfuerzo ininterrumpido grupo trabajo coronavirus casa blanco responder pandemia según incluir numeroso reunión casa blanca llamado telefónico nocturno 

 nunca amenaza respuesta coordinado ser   serie adjetivo describir él impresionante creer hablar mano obra mucho persona equipo único persona decir fauci momento principio incluso reconocer dedicar casi tiempo casa blanca prácticamente día grupo trabajo día así poder imaginar bajo cualquiera circunstancia alguien poder hacer 

 respuesta fauci decir anuncio sacar palabra contexto director comunicación campaña trump tim murtaugh decir propio palabra dr fauci video entrevista televisivo transmisión nacional dr fauci elogiar trabajo administración trump palabra pronunciado preciso provenir directamente boca dr fauci 

 uso fauci nuevo anuncio parecer ser reconocimiento parte campaña trump médico voz votante confiar tratar pandemia trump comparar privado público aprobación fauci propio",https://cnnespanol.cnn.com/2020/10/11/fauci-dice-que-fue-sacado-de-contexto-en-un-nuevo-anuncio-de-campana-de-trump-que-promociona-la-respuesta-al-coronavirus/,cnnespanol
0,"gobierno francia declarar emergencia equivalente alarma español partir sábado último dato incidencia acumulado parís   caso covid mitad comunidad madrid bajar   caso según ministerio sanidad 

 presidente francés emmanuel macron anunciar miércoles toque queda parís ocho área metropolitano agravamiento situación hospitalario culpa coronavirus 

 toque queda     hora local comenzar partir próximo sábado duración inicial cuatro semana ampliabl seis detallar presidente entrevista televisivo toque queda vigente partir sábado nueve noche seis mañana prolongar mínimo cuatro semana alargar él seis semana desear macron hacer falta autorización parlamento francés 

 tomar medida estricto situación preocupante afirmar macron objetivo medida frenar crecimiento contagio fin actual ritmo pasar aproximadamente   diario nivel   añadir 
 confinamiento general 

 macron asegurar reconfinamiento general población vivido pasado primavera desproporcionar toque queda medida pertinente 

 poder ir restaurante después   poder ir fiesta casa amigo explicar presidente avanzar control policial multa infractor   euros igual sistema autorización salir trabajo motivo ineludibl 

 intervención macron horario máximo audiencia televisivo producir mientras situación agravar principal zona metropolitano francia pesar medida restrictivo tomado último semana obligatoriedad uso local mascaril él cierre bar protocolo rígido restaurante situación serio 

 situación especialmente serio región parís isla francia índice caso positivo   cada   habitante paciente covid ocupar   todo cama cuidado intensivo hospital según dato comunicado hoy efe autoridad sanitario regional además   test realizado región parisino último día dar resultado positivo 

 macron recalcar hospital aplazar operación quirúrgico asegurar cama cuidado intensivo paciente coronavirus cama reserva deber tomar medida estricto 

 además región parís área metropolitano toque queda marsellaaix provence lyon lille grenoble montpellier toulouse rouar saint etienne pandemia causar   muerte francia según último cifra oficial disponible",https://www.elespanol.com/mundo/20201014/francia-declara-emergencia-partir-sabado-impone-toque/528198585_0.html,elespanol
1,"cúcuta norte santander   febrero    marco inicio plan nacional vacunación covid ciudad cúcuta aplicar hoy   febrero primero vacuna hospital universitario erasmo meoz médica zulma urbín 

 respecto germán escobar morales jefe gabinete ministerio salud protección social indicar jornada inmunización esperar vacunar inicialmente   profesional salud continuar proceso demás institución sólo ciudad cúcuta sino resto departamento 

 gran importancia actividad vacunación iniciar institución tanto icónico hospital erasmo meoz recordemos próximo semana llegar   mil dosis laboratorio pfizer seguir destinar profesional salud primero línea decir intervención 

 turno trabajadora salud primero línea atención covid hospital erasmo meoz oriundo arboleda norte santander madre familia especialista cuidado intensivo expresar sentir él afortunado luego ser vacunar sentir compromiso mayor seguir cuidándome invito colega médico ir ser priorizado población mayor   año próximo vacunar él seguir utilizar medida bioseguridad tapaboca distanciamiento físico lavado mano único manera salir pandemia indicar 

 respecto añadir carlos arturo martínez secretario salud norte santander iniciar él proceso vacunación departamento profesional salud primero línea atención garantía primero   dosis empezar cubrir población mismo manera partir   febrero iniciar inmunización adulto mayor   año 

 gobierno nacional ministerio salud protección social seguir compromiso puesta marcha plan nacional vacunación covid inmunización   millón colombiano compromiso ahora acudir cita mantener medida autocuidado junto poder avanzar",https://www.minsalud.gov.co/Paginas/Con-1356-vacunas-Norte-de-Santander-inicio-inmunizacion-contra-el-covid-19.aspx,minsalud
1,apenas mes después asumir gerente general mets jared porter despedir ayer cargo enviar él mensaje texto explícito solicitado imagen reportera   formar parte cachorro chicago espn revelar noche lunes porter enviar múltiple texto respuesta mujer incluir foto sexual cadena deportivo asegurar obtener copia historial mensaje hora después nuevo dueño met steve cohir anunciar twitter despido porter   ninguno tipo tolerancia tipo conducta indicar,https://www.jornada.com.mx/notas/2021/01/19/deportes/despiden-al-gerente-de-mets-por-acoso-sexual-a-periodista/,jornada
